,isced11,genero,edad,edad_ingresos,geo,periodo,satisfaccion_general,mediana_ingresos,media_ingresos,no_afrontar_imprevistos(%)
213,ED0-2,F,Y16-24,Y16-24,PL,2022-01-01,8.0,8062.0,8747.0,27.3
214,ED0-2,F,Y16-24,Y16-24,PL,2023-01-01,7.9,9122.0,9806.0,26.0
215,ED0-2,F,Y16-24,Y16-24,PL,2024-01-01,8.1,10707.0,11793.0,23.0
216,ED0-2,F,Y16-24,Y16-24,PT,2021-01-01,7.44,10359.0,11605.0,31.2
217,ED0-2,F,Y16-24,Y16-24,PT,2022-01-01,6.7,10095.0,11856.0,29.9
218,ED0-2,F,Y16-24,Y16-24,PT,2023-01-01,8.9,10524.0,12474.0,30.5
219,ED0-2,F,Y16-24,Y16-24,PT,2024-01-01,7.4,12105.0,13802.0,28.7
220,ED0-2,F,Y16-24,Y16-24,RO,2021-01-01,8.0,4427.0,4980.0,47.3
221,ED0-2,F,Y16-24,Y16-24,RO,2022-01-01,8.0,4764.0,5259.0,47.9
222,ED0-2,F,Y16-24,Y16-24,RO,2023-01-01,8.3,5907.0,6424.0,46.4
223,ED0-2,F,Y16-24,Y16-24,RO,2024-01-01,8.1,7176.0,7674.0,40.1
224,ED0-2,F,Y16-24,Y16-24,SE,2021-01-01,7.7,21824.0,24692.0,18.4
225,ED0-2,F,Y16-24,Y16-24,SE,2022-01-01,7.3,22340.0,23809.0,21.2
226,ED0-2,F,Y16-24,Y16-24,SE,2023-01-01,7.2,22920.0,25398.0,21.9
227,ED0-2,F,Y16-24,Y16-24,SE,2024-01-01,7.5,22513.0,25349.0,22.5
228,ED0-2,F,Y16-24,Y16-24,SI,2021-01-01,7.9,15161.0,16248.0,24.6
229,ED0-2,F,Y16-24,Y16-24,SI,2022-01-01,8.1,16648.0,17562.0,24.6
230,ED0-2,F,Y16-24,Y16-24,SI,2023-01-01,8.2,18516.0,19624.0,22.7
231,ED0-2,F,Y16-24,Y16-24,SI,2024-01-01,8.6,20246.0,21583.0,23.2
232,ED0-2,F,Y16-24,Y16-24,SK,2021-01-01,8.2,7690.0,8025.0,27.0
233,ED0-2,F,Y16-24,Y16-24,SK,2022-01-01,7.7,7662.0,7862.0,27.0
234,ED0-2,F,Y16-24,Y16-24,SK,2023-01-01,8.2,8453.0,8335.0,29.3
235,ED0-2,F,Y16-24,Y16-24,SK,2024-01-01,8.1,8821.0,8869.0,28.2
236,ED0-2,F,Y16-24,Y16-24,TR,2021-01-01,5.6,2426.0,3218.0,33.4
237,ED0-2,F,Y16-24,Y16-24,TR,2022-01-01,5.4,2467.0,3372.0,31.1
238,ED0-2,F,Y16-24,Y16-24,TR,2023-01-01,5.8,2630.0,3613.0,31.8
239,ED0-2,F,Y16-24,Y16-24,TR,2024-01-01,5.9,3662.0,5057.0,26.8
240,ED0-2,F,Y20-24,Y16-24,AT,2021-01-01,8.0,27305.0,28228.0,18.6
241,ED0-2,F,Y20-24,Y16-24,AT,2023-01-01,7.3,30700.0,32885.0,22.8
242,ED0-2,F,Y20-24,Y16-24,AT,2024-01-01,7.6,31026.0,33804.0,20.9
243,ED0-2,F,Y20-24,Y16-24,BE,2021-01-01,7.0,24390.0,25223.0,22.3
244,ED0-2,F,Y20-24,Y16-24,BE,2023-01-01,7.4,27845.0,29150.0,21.5
245,ED0-2,F,Y20-24,Y16-24,BE,2024-01-01,6.8,29218.0,30365.0,21.5
246,ED0-2,F,Y20-24,Y16-24,BG,2021-01-01,5.0,4637.0,5727.0,36.4
247,ED0-2,F,Y20-24,Y16-24,BG,2023-01-01,5.2,6001.0,7104.0,46.7
248,ED0-2,F,Y20-24,Y16-24,BG,2024-01-01,6.3,6963.0,8537.0,45.6
249,ED0-2,F,Y20-24,Y16-24,CY,2021-01-01,6.95,16201.0,18397.0,43.4
250,ED0-2,F,Y20-24,Y16-24,CY,2023-01-01,7.04,18544.0,20736.0,37.6
251,ED0-2,F,Y20-24,Y16-24,CY,2024-01-01,6.97,20106.0,22121.0,34.8
252,ED0-2,F,Y20-24,Y16-24,CZ,2021-01-01,7.3,10444.0,11561.0,18.1
253,ED0-2,F,Y20-24,Y16-24,CZ,2023-01-01,7.7,12934.0,13912.0,19.7
254,ED0-2,F,Y20-24,Y16-24,CZ,2024-01-01,7.6,14151.0,15288.0,19.2
255,ED0-2,F,Y20-24,Y16-24,DE,2021-01-01,6.95,22501.0,25640.0,32.3
256,ED0-2,F,Y20-24,Y16-24,DE,2023-01-01,6.8,23360.0,26079.0,35.0
257,ED0-2,F,Y20-24,Y16-24,DE,2024-01-01,6.8,24711.0,27673.0,32.2
258,ED0-2,F,Y20-24,Y16-24,DK,2021-01-01,5.8,24285.0,26603.0,19.5
259,ED0-2,F,Y20-24,Y16-24,DK,2023-01-01,6.9,27632.0,30385.0,23.1
260,ED0-2,F,Y20-24,Y16-24,DK,2024-01-01,6.97,28045.0,29538.0,21.1
261,ED0-2,F,Y20-24,Y16-24,EE,2021-01-01,7.7,11950.0,13043.0,27.1
262,ED0-2,F,Y20-24,Y16-24,EE,2023-01-01,7.3,14873.0,15775.0,30.2
263,ED0-2,F,Y20-24,Y16-24,EE,2024-01-01,6.6,16616.0,17571.0,34.7
264,ED0-2,F,Y20-24,Y16-24,EL,2021-01-01,6.2,7622.0,8555.0,46.3
265,ED0-2,F,Y20-24,Y16-24,EL,2023-01-01,7.04,8400.0,9528.0,44.3
266,ED0-2,F,Y20-24,Y16-24,EL,2024-01-01,6.97,9821.0,10852.0,43.9
267,ED0-2,F,Y20-24,Y16-24,ES,2021-01-01,6.8,14088.0,16272.0,33.4
268,ED0-2,F,Y20-24,Y16-24,ES,2023-01-01,7.4,16500.0,19162.0,37.1
269,ED0-2,F,Y20-24,Y16-24,ES,2024-01-01,7.2,17673.0,19946.0,35.9
270,ED0-2,F,Y20-24,Y16-24,EU27_2020,2021-01-01,6.95,16781.0,18942.0,29.45
